â„–,Answer
1,ae
2,b
3,bc
4,abc
5,c
6,a
7,b
8,a
9,c
10,e
11,d
12,b
13,d
14,bd
15,cde
16,de
17,b
18,b
19,d
20,abce
21,b
22,ac
23,ce
24,ad
25,abc
26,acde
27,bc
28,ac
29,d
30,de
31,c
32,c
33,c
34,abe
35,a
36,c
37,bde
38,c
39,ae
40,ace
41,abde
42,abce
43,a
44,b
45,d
46,c
47,b
48,c
49,c
50,bd
51,b
52,be
53,abd
54,abd
55,cde
56,b
57,ac
58,bd
59,d
60,abcd
61,b
62,c
63,de
64,c
65,c
66,c
67,e
68,a
69,a
70,e
71,b
72,d
73,ac
74,be
75,be
76,b
77,a
78,b
79,be
80,b
81,b
82,d
83,cd
84,c
85,abd
86,a
87,ace
88,c
89,b
90,acde
91,b
92,be
93,d
94,b
95,d
96,b
97,d
98,c
99,d
100,bd
101,bce
102,e
103,ac
104,b
105,c
106,b
107,b
108,c
109,d
110,b
111,abc
112,d
113,c
114,b
115,b
116,ad
117,ce
118,be
119,bd
120,acd
121,bd
122,ac
123,ac
124,bce
125,b
126,be
127,a
128,e
129,bd
130,c
131,abe
132,be
133,ce
134,acde
135,c
136,cd
137,ade
138,de
139,cd
140,abd
141,b
142,d
143,b
144,ce
145,abde
146,ce
147,de
148,ce
149,d
150,b
151,bd
152,cd
153,ade
154,be
155,bde
156,bde
157,ab
158,be
159,abce
160,ad
161,bcde
162,abcd
163,acde
164,ac
165,abde
166,acde
167,bcde
168,abce
169,d
170,abc
171,bd
172,be
173,c
174,abce
175,bd
176,abc
177,d
178,abcd
179,bcd
180,abc
181,ad
182,bd
183,ab
184,bcd
185,acd
186,abcd
187,bcd
188,abd
189,d
190,a
191,ab
192,d
193,d
194,abd
195,abd
196,abcd
197,acd
198,d
199,a
200,bcd
201,ad
202,bd
203,abc
204,abc
205,d
206,a
207,abcd
208,c
209,d
210,bcd
211,a
212,abd
213,a
214,a
215,acd
216,c
217,abcd
218,ab
219,c
220,d
221,c
222,ab
223,abc
224,a
225,abc
226,bcde
227,d
228,de
229,d
230,ac
231,c
232,a
233,ac
234,bc
235,be
236,b
237,ce
238,d
239,d
240,ac
241,de
242,e
243,e
244,a
245,a
246,c
247,d
248,cde
249,ac
250,bc
251,a
252,c
253,d
254,a
255,bc
256,a
257,c
258,d
259,e
260,ce
261,cd
262,b
263,b
264,d
265,a
266,b
267,c
268,d
269,a
270,d
271,b
272,c
273,c
274,a
275,abcd
276,ab
277,ad
278,b
279,b
280,ab
281,b
282,ad
283,d
284,ce
285,a
286,bc
287,d
288,ac
289,ab
290,bcd
291,bcd
292,b
293,bc
294,bc
295,bd
296,c
297,ac
298,ac
299,bd
300,c
301,a
302,acd
303,d
304,b
305,b
306,bc
307,b
308,bce
309,abe
310,b
311,abd
312,ac
313,a
314,bd
315,bd
316,b
317,bc
318,c
319,ac
320,a
321,c
322,d
323,c
324,b
325,c
326,abce
327,abde
328,abcd
329,bde
330,bd
331,bcd
332,cde
333,ade
334,bde
335,bc
336,abd
337,abce
338,abc
339,bd
340,bd
341,bd
342,ae
343,abce
344,bde
345,abcd
346,abd
347,cde
348,acd
349,ace
350,ab
351,b
352,bcd
353,abce
354,a
355,cd
356,b
357,bcd
358,cde
359,abc
360,bc
361,cd
362,abcd
363,ab
364,acd
365,cd
366,bcde
367,ad
368,abc
369,abc
370,bcde
371,abcd
372,cde
373,de
374,abcd
375,abcd
376,b
377,c
378,bc
379,b
380,bd
381,b
382,ce
383,c
384,de
385,be
386,ad
387,cd
388,acd
389,b
390,bd
391,d
392,cd
393,abcde
394,ac
395,abd
396,a
397,cd
398,cd
399,b
400,c
401,bd
402,c
403,ad
404,c
405,a
406,bc
407,d
408,cd
409,d
410,cd
411,a
412,ad
413,d
414,ab
415,b
416,b
417,ab
418,c
419,cd
420,c
421,ad
422,b
423,b
424,d
425,d
426,c
427,ae
428,a
429,d
430,b
431,c
432,bcde
433,b
434,a
435,ae
436,b
437,b
438,b
439,be
440,abc
441,c
442,bce
443,bc
444,ac
445,a
446,ab
447,b
448,b
449,d
450,c
451,d
452,bc
453,d
454,ac
455,d
456,b
457,ad
458,abd
459,b
460,d
461,c
462,ab
463,be
464,bd
465,c
466,b
467,ace
468,ad
469,bc
470,a
471,b
472,ab
473,b
474,bcd
475,d
476,d
477,c
478,ab
479,b
480,b
481,c
482,d
483,b
484,c
485,b
486,b
487,b
488,a
489,ad
490,a
491,ac
492,a
493,b
494,b
495,bc
496,cde
497,ae
498,ac
499,ce
500,abd
501,b
502,ce
503,a
504,abd
505,d
506,
507,a
508,d
509,a
510,ac
511,ce
512,d
513,be
514,ab
515,bcd
516,acd
517,acd
518,abc
519,cde
520,ab
521,bd
522,ace
523,bce
524,ae
525,abd
526,ade
527,abcd
528,ade
529,bc
530,acd
531,acd
532,b
533,bcd
534,abc
535,be
536,b
537,b
538,be
539,ac
540,a
541,b
542,c
543,a
544,a
545,de
546,ce
547,d
548,ad
549,de
550,d
551,bd
552,ad
553,ac
554,c
555,ae
556,bc
557,b
558,ae
559,ad
560,ad
561,a
562,a
563,b
564,bd
565,cd
566,c
567,cd
568,c
569,d
570,ae
571,b
572,a
573,bd
574,b
575,ab
576,b
577,c
578,ae
579,c
580,c
581,c
582,cd
583,e
584,c
585,bd
586,cd
587,b
588,b
589,ad
590,b
591,a
592,b
593,ce
594,ab
595,d
596,abd
597,a
598,abc
599,d
600,ab
601,ac
602,abc
603,a
604,ab
605,ab
606,ab
607,abc
608,c
609,a
610,ab
611,ab
612,abc
613,ab
614,ab
615,abd
616,ab
617,ab
618,ab
619,ab
620,ac
621,abcd
622,ab
623,d
624,ab
625,ab
626,abc
627,a
628,abd
629,ab
630,b
631,ab
632,bcd
633,ab
634,ab
635,ab
636,abc
637,ab
638,ab
639,abde
640,a
641,abc
642,c
643,ab
644,abcd
645,ab
646,b
647,ab
648,ace
649,c
650,bd
651,c
652,b
653,acd
654,abcd
655,a
656,a
657,abd
658,e
659,ac
660,abc
661,ac
662,a
663,c
664,ac
665,a
666,cde
667,cd
668,abc
669,b
670,cde
671,ad
672,c
673,abce
674,ace
675,ab
676,c
677,a
678,d
679,d
680,bd
681,bc
682,b
683,a
684,a
685,d
686,bcd
687,d
688,bc
689,ad
690,cd
691,abc
692,d
693,d
694,bd
695,c
696,a
697,bc
698,a
699,b
700,abcd
701,ad
702,bc
703,ab
704,a
705,abd
706,bd
707,a
708,a
709,bcd
710,bd
711,abc
712,bc
713,bcd
714,c
715,a
716,a
717,a
718,abc
719,a
720,b
721,c
722,a
723,a
724,abc
725,a
726,abc
727,bcd
728,a
729,bd
730,bd
731,abd
732,abe
733,cde
734,cd
735,bd
736,a
737,d
738,bcd
739,acd
740,ad
741,ad
742,bde
743,d
744,abc
745,bcd
746,ac
747,abc
748,c
749,ad
750,d
751,ac
752,ac
753,d
754,ab
755,c
756,b
757,d
758,bcd
759,abd
760,ab
761,bc
762,abd
763,abd
764,d
765,ad
766,d
767,a
768,c
769,bcd
770,d
771,ab
772,b
773,ab
774,ab
775,ab
776,abc
777,acd
778,e
779,d
780,ace
781,bd
782,de
783,d
784,abcd
785,ade
786,d
787,bc
788,abc
789,ade
790,ac
791,bcd
792,bc
793,bc
794,bcd
795,b
796,abcd
797,c
798,ace
799,bcde
800,cd
801,ade
802,a